instance_name,method,generator,use_time_windows,initial_routes,initial_distance,final_routes,final_distance,delta_routes,delta_distance,distance_improvement_pct,runtime_seconds,history_length,param_fill_ratio,param_seed,param_sa_initial_temp,param_sa_cooling_rate,param_sa_min_temp,param_sa_iterations_per_temp,param_sa_p_relocate,param_sa_p_exchange,param_tabu_tenure,param_tabu_max_iterations,param_tabu_max_no_improve,tabu_no_2opt

data101.vrp,sa,random,True,73,4567.752626931998,19,1650.799239571068,54,2916.95338736093,63.85970575906924,422.9884454999992,145784,0.75,1,450.0,0.99,0.01,400,0.4,0.2,10,200,50,False
data101.vrp,sa,random,True,73,4567.752626931998,20,1644.04534455951,53,2923.7072823724875,64.00756610885561,311.20127460000003,140111,0.75,1,400.0,0.99,0.01,400,0.6,0.2,10,200,50,False

data102.vrp,sa,greedy,True,34,2442.783334468638,17,1490.9250974037782,17,951.8582370648596,38.966134394064504,143.56974990000163,174175,0.7,1,450,0.985,0.01,700,0.5,0.3,10,200,50,False
data102.vrp,sa,greedy,True,34,2442.783334468638,18,1473.218670062902,16,969.5646644057358,39.69098080557516,197.9819735000001,300443,0.75,42,400.0,0.99,0.01,800,0.3,0.2,10,200,50,False

data111.vrp,sa,random,True,41,3942.473918920051,11,1062.3748588174187,30,2880.0990601026324,73.05309101173633,302.51473909999913,438016,0.75,2,600,0.99,0.01,1000,0.3,0.1,10,200,50,False
data111.vrp,sa,random,True,41,3942.473918920051,12,1054.8619727868065,29,2887.6119461332446,73.24365374430273,182.82824400000027,211967,0.75,2,350,0.985,0.01,900,0.5,0.2,10,200,50,False

data112.vrp,sa,random,True,34,3938.388542284393,10,971.7939559236999,24,2966.5945863606935,75.32508675845304,432.1202166999992,341596,0.75,1,450,0.99,0.01,900,0.5,0.2,10,200,50,False
data112.vrp,sa,random,True,34,3938.388542284393,11,968.9502345180505,23,2969.438307766343,75.39729196053298,277.4583273999997,262260,0.75,1,550,0.985,0.01,1000,0.5,0.3,10,200,50,False

data1101.vrp,sa,random,True,71,6068.1064123973265,15,1635.570716631773,56,4432.535695765553,73.04643977089373,680.8981975999995,286636,0.75,1,1200,0.975,0.01,1500,0.7,0.1,10,200,50,False
data1101.vrp,sa,random,True,71,6068.1064123973265,16,1638.9861781744119,55,4429.120234222914,72.99015431196274,340.1400813,185291,0.75,1,1200,0.975,0.01,1000,0.7,0.1,10,200,50,False

data201.vrp,sa,greedy,True,15,1984.9558763101602,5,1230.359761464065,10,754.5961148460951,38.015762660115946,197.2775408,118247,0.75,1,100,0.97,0.001,2000,0.6,0.1,10,200,50,False
data201.vrp,sa,random,True,44,4192.512211494158,6,1176.6057803089745,38,3015.9064311851835,71.93554315517075,182.5303659000001,179103,0.75,1,400,0.985,0.01,900,0.5,0.3,10,200,50,False

data202.vrp,sa,random,True,35,4078.3851190906616,5,1049.1055104224783,30,3029.2796086681833,74.27644815807899,142.3559239999995,197891,0.75,1,350,0.985,0.01,1000,0.5,0.2,10,200,50,False
data202.vrp,sa,random,True,35,4078.3851190906616,6,1037.982341778232,29,3040.40277731243,74.54918279003368,76.16422669999884,128786,0.75,1,400,0.985,0.01,600,0.3,0.2,10,200,50,False

data1102.vrp,sa,random,True,60,5903.881882580841,13,1497.9536681890906,47,4405.928214391751,74.62764841876765,477.3334622000002,227477,0.75,1,100,0.985,0.01,1500,0.7,0.1,10,200,50,False
data1102.vrp,sa,random,True,60,5903.881882580841,14,1470.2803165342164,46,4433.601566046625,75.09637987724284,240.3151300999998,253935,0.75,1,100,0.985,0.01,1500,0.3,0.1,10,200,50,False
